2021-09-16T09:42:30.196936+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:43:42.300481+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:45:45.067673+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:45:47.033868+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:45:47.246965+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:45:47.807616+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:46:06.988122+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:46:09.368793+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:46:09.646262+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:46:10.230472+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:54:17.918855+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:54:35.032642+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:54:43.922613+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:54:55.784925+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:54:55.966290+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:54:57.684126+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
